,Start (s),End (s),Scientific name,Common name,Confidence
44,135.0,138.0,Helopsaltes certhiola,Pallas's Grasshopper Warbler,0.106
0,0.0,3.0,Aplonis panayensis,Asian Glossy Starling,0.1057
333,576.0,579.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1055
142,276.0,279.0,Cinnyris jugularis,Olive-backed Sunbird,0.1054
129,249.0,252.0,Cinnyris jugularis,Olive-backed Sunbird,0.105
170,321.0,324.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1039
57,147.0,150.0,Anthracoceros coronatus,Malabar Pied-Hornbill,0.1034
117,231.0,234.0,Pandion haliaetus,Osprey,0.1029
214,405.0,408.0,Anthreptes malacensis,Brown-throated Sunbird,0.1025
252,474.0,477.0,Phaenicophaeus sumatranus,Chestnut-bellied Malkoha,0.1016
195,375.0,378.0,Sturnella neglecta,Western Meadowlark,0.1013
149,285.0,288.0,Anthreptes malacensis,Brown-throated Sunbird,0.1013
12,45.0,48.0,Pycnonotus barbatus,Common Bulbul,0.1013
283,516.0,519.0,Aplonis panayensis,Asian Glossy Starling,0.101
274,495.0,498.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1009
216,408.0,411.0,Anthreptes malacensis,Brown-throated Sunbird,0.1007
226,432.0,435.0,Anthreptes malacensis,Brown-throated Sunbird,0.1005
313,549.0,552.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1002
227,432.0,435.0,Psittinus cyanurus,Blue-rumped Parrot,0.1
